"Caso","Escenario","Resultado"
"CC-01","Arranque: carga de los tres archivos y alertas iniciales","IDENTICA"
"CC-02","Login con credenciales validas","IDENTICA"
"CC-03","Login con credenciales invalidas","IDENTICA"
"CC-04","Listar productos: orden y formato del inventario","IDENTICA"
"CC-05","Listar clientes con sus puntos","IDENTICA"
"CC-06","Buscar un producto existente","IDENTICA"
"CC-07","Buscar un producto inexistente","IDENTICA"
"CC-08","Venta con stock suficiente: descuento y movimiento","IDENTICA"
"CC-09","Venta MAYOR al stock: el inventario queda negativo (H-07)","IDENTICA"
"CC-10","Acumular puntos a un cliente y ver el evento","IDENTICA"
"CC-11","Ver alertas de stock minimo y vencimiento","IDENTICA"
"CC-12","Opcion de menu inexistente","IDENTICA"
